@HD	VN:1.6
@SQ	SN:20	LN:63025520	M5:0dec9660ec1efaaf33281c0d5ea2560f	UR:file:/storage/zhenghoufengLab/chenxiang/reference/hg19_genome/hg19_chr20.fa
@RG	ID:GATKCopyNumber	SM:HG01133
CONTIG	START	END	LINEAR_COPY_RATIO
20	68062	68561	1.6504986504310697
20	68562	68658	8.402204005356761
20	76395	76894	2.3639689000392363
20	76895	77394	2.2833252405248463
20	122980	123479	2.017630119180485
20	123480	123577	9.490377337781464
20	125805	126304	2.347583571044203
20	126305	126642	2.290920739514615
20	137844	138343	1.4173820974336069
20	138344	138484	14.04694211799982
20	139164	139663	1.7844628584202884
20	139664	140054	1.7757987654337397
20	168243	168742	2.107478449401592
20	168743	169009	1.7150354744876675
20	169965	170464	2.007951609983266
20	207648	208147	1.61574800202795
20	208148	208237	30.24707641364824
20	209668	210167	1.6915353852649109
20	210168	210667	2.0886191003491597
20	238114	238613	2.5761657723268834
20	238614	238727	47.60219234956955
20	239467	239966	1.7827616878137953
20	239967	240466	1.672353118212363
20	251253	251752	2.592292600033621
20	251753	252158	2.5960224024275345
20	256358	256857	2.0150360773102336
20	256858	256977	3.411109565357275
20	257183	257602	2.098126852123548
20	257603	257826	2.003334192237658
20	257827	258274	1.9809617836664632
20	258720	259219	2.2424649223339084
20	259220	259320	0
20	259562	260061	3.0011335594997517
20	264353	264852	1.8585863996371565
20	264853	264972	2.175560292719619
20	269949	270448	2.120879494714567
20	270449	270567	1.3239275951587213
20	270649	271087	2.202929897443583
20	271088	271587	2.8573690025211302
20	278460	278959	2.6767906510208936
20	278960	279459	2.491217279388584
20	306556	307055	2.123902759412184
20	307056	307555	3.2275500498764336
20	307556	308055	3.137733039197391
20	329629	330128	3.029482333655236
20	330134	330633	2.1111567992947924
20	333603	334102	1.9456817145350518
20	334103	334602	2.4237897479005657
20	368404	368903	1.885582197424623
20	368904	369195	0.7104848678968472
20	371680	372179	1.334150479861102
20	372180	372473	1.7134201848722512
20	376591	377090	1.816676233006838
20	377091	377590	1.4302516971292896
20	388943	389442	2.475012366221961
20	389443	389673	4.286526751554997
20	390274	390773	2.1568156132292233
20	390774	390862	2.251662078026158
20	390863	391362	1.9253243975063363
20	397919	398319	1.9456373457315954
20	398320	398819	1.5358656263227313
20	399740	400156	2.0313903760687366
20	400157	400625	1.9212167966802753
20	401264	401763	1.6720256059209573
20	402520	403019	1.7297509280092802
20	403020	403132	0
20	407706	408205	1.9502514385575749
20	408206	408386	1.7835736317304938
20	408884	409383	1.6099348237236686
20	409414	409913	2.287623717795092
20	410743	411242	2.7420862398535357
20	418873	419372	1.875013572916378
20	419373	419618	2.1987383992705753
20	419619	420118	2.0280948116650372
20	420641	421140	1.896254171982991
20	421141	421283	8.767622889863954
20	421981	422416	2.286217612653547
20	422417	422916	2.005449945898402
20	425443	425942	1.8616517592935664
20	428282	428781	2.138285778899568
20	428782	428968	2.9976376035579184
20	452891	453390	2.4435886459964915
20	458391	458890	1.0157628832011776
20	463891	464390	0
20	464391	464890	2.4508264373777697
20	466769	467268	2.036308891894036
20	467820	468319	1.9512564735114366
20	468320	468469	1.6248947548106818
20	469071	469570	1.8783439279329055
20	470173	470672	2.4947711475752476
20	472647	473146	1.9992631528944937
20	476112	476611	2.01860897121572
20	478114	478613	2.0326671545516013
20	479648	480147	2.1917483377906617
20	480226	480725	2.1495716094736
20	485511	486010	1.5373736580943895
20	488844	489343	1.9303659495818795
20	489344	489554	3.5756229372819974
20	584886	585385	1.9225438130849375
20	590106	590605	1.1806207801197597
20	629017	629516	2.01044124563067
20	629517	629811	2.1803798563438925
20	633369	633868	0.8437980580364363
20	643989	644488	0.35400035585009154
20	644489	644988	1.7027439330621335
20	655862	656361	1.693521935372433
20	741473	741972	2.0059418068614603
20	742114	742613	1.807968141161893
20	743891	744390	2.312745484621209
20	744391	744890	1.7334137887763668
20	745601	746100	1.602593213242194
20	746101	746600	1.8644488595811572
20	819847	820346	1.8726835672010524
20	820347	820456	2.012406119765038
20	825035	825534	1.4093708389392485
20	825535	826034	2.264408189718568
20	826035	826534	2.5846880901064946
20	853292	853791	1.8986681571868234
20	853792	854013	4.67826142772974
20	854676	855175	2.178534358683567
20	855176	855307	7.445099283829101
20	858553	859052	1.6876231855704147
20	860139	860638	1.8981887011930478
20	861563	862062	1.686174921882457
20	865470	865969	1.1176876307410994
20	868710	869209	2.029678247151542
20	870605	871104	2.38012344953711
20	871105	871261	9.823241366238063
20	896298	896797	1.9085861761617642
20	896798	897227	2.019301936566761
20	944327	944826	1.8584322698303701
20	947566	948065	1.9059290064402363
20	948342	948841	2.0669853184398175
20	1099168	1099667	1.8553469612906537
20	1105890	1106389	2.018441554428049
20	1106390	1106543	4.187643663743709
20	1107818	1108317	1.610237005913762
20	1115513	1116012	2.312321976953121
20	1116013	1116199	3.7782850472848204
20	1143523	1144022	1.7182442924388444
20	1144711	1145210	2.037445668556946
20	1145211	1145386	0.8134570800975673
20	1145422	1145921	2.4974679928585104
20	1145922	1146421	1.356672757876976
20	1146422	1146921	1.8458861412160832
20	1160954	1161453	2.2572572081219393
20	1161454	1161953	2.128566367590253
20	1161954	1162453	2.380030342238843
20	1164164	1164663	1.991011456235357
20	1164664	1165163	10.4756958457468
20	1276669	1277168	1.3986476622109054
20	1277169	1277315	5.01788788380982
20	1277538	1278037	1.7889477697209994
20	1280955	1281454	1.7687500763154038
20	1285271	1285770	1.7318627702395146
20	1285771	1286270	1.6184260946225482
20	1286271	1286770	1.4145447305912173
20	1290804	1291291	2.2457001091512043
20	1291292	1291785	2.005906774305887
20	1292730	1293191	2.1162744403815994
20	1293192	1293656	1.8320258918446353
20	1293733	1294232	1.0927902691838092
20	1298711	1299210	1.8709819681518496
20	1299983	1300482	2.2720850946210396
20	1300756	1301255	1.9774355268962527
20	1350370	1350869	2.648386079541665
20	1352105	1352604	1.6670342607161521
20	1352605	1353104	2.180751041148411
20	1355884	1356383	1.6422127314722599
20	1356384	1356497	7.3772048891260535
20	1358691	1359190	0
20	1424056	1424555	2.1268125219814893
20	1424556	1424806	3.14286627275878
20	1426060	1426559	2.232644472745342
20	1426560	1426725	2.3131091768290633
