CONTIG	START	END	LOG2_COPY_RATIO
chr20	68062	68561	0.915052892
chr20	68562	68658	1.127003227
chr20	76395	76894	0.952565557
chr20	76895	77394	0.958554935
chr20	122980	123479	1.015828098
chr20	123480	123577	1.665415002
chr20	125805	126304	0.973068226
chr20	126305	126642	0.781427965
chr20	137844	138343	1.075134778
chr20	138344	138484	0.944363369
chr20	139164	139663	0.96837401
chr20	139664	140054	0.989823248
chr20	168243	168742	0.963635117
chr20	168743	169009	0.943278488
chr20	169965	170464	1.114781622
chr20	207648	208147	0.970077194
chr20	208148	208237	0.559158739
chr20	209668	210167	0.908157067
chr20	210168	210667	0.953669677
chr20	238114	238613	1.699315273
chr20	238614	238727	1.954567043
chr20	239467	239966	1.011462037
chr20	239967	240466	0.686293894
chr20	251253	251752	1.207185652
chr20	251753	252158	1.095045678
chr20	256358	256857	0.895300196
chr20	256858	256977	0.999454883
chr20	257183	257602	1.201709504
chr20	257603	257826	1.141607513
chr20	257827	258274	1.09253407
chr20	258720	259219	1.016287668
chr20	259220	259320	1.217253324
chr20	259562	260061	1.764839885
chr20	264353	264852	1.106410775
chr20	264853	264972	1.302510828
chr20	269949	270448	1.008556244
chr20	270449	270567	1.352614135
chr20	270649	271087	0.977822896
chr20	271088	271587	1.151369435
chr20	278460	278959	6.762034472
chr20	278960	279459	4.019920933
chr20	306556	307055	1.114281374
chr20	307056	307555	0.883743493
chr20	307556	308055	2.680892662
chr20	329629	330128	0.85605502
chr20	330134	330633	0.650405311
chr20	333603	334102	0.958770281
chr20	334103	334602	1.10944136
chr20	368404	368903	0.999240355
chr20	368904	369195	1.507879611
chr20	371680	372179	1.262968482
chr20	372180	372473	1.524731702
chr20	376591	377090	1.009895314
chr20	377091	377590	0.869681853
chr20	388943	389442	1.096344716
chr20	389443	389673	0.838793984
chr20	390274	390773	1.225334121
chr20	390774	390862	0.983940776
chr20	390863	391362	0.408384276
chr20	397919	398319	0.938109206
chr20	398320	398819	0.884442482
chr20	399740	400156	1.143239291
chr20	400157	400625	0.889093184
chr20	401264	401763	1.452653239
chr20	402520	403019	1.007753769
chr20	403020	403132	1.09898164
chr20	407706	408205	1.079703312
chr20	408206	408386	0.935820989
chr20	408884	409383	1.212095964
chr20	409414	409913	1.397311729
chr20	410743	411242	0.88788599
chr20	418873	419372	1.172250639
chr20	419373	419618	1.028616314
chr20	419619	420118	1.196522054
chr20	420641	421140	1.060985434
chr20	421141	421283	0.914302372
chr20	421981	422416	1.000647463
chr20	422417	422916	1.0022709
chr20	425443	425942	1.054210451
chr20	428282	428781	1.074522582
chr20	428782	428968	0.941560657
chr20	452891	453390	1.250571231
chr20	458391	458890	0.737401779
chr20	463891	464390	1.688978749
chr20	464391	464890	0.941601028
chr20	466769	467268	1.049539968
chr20	467820	468319	1.102720222
chr20	468320	468469	1.208448853
chr20	469071	469570	0.955076419
chr20	470173	470672	1.057806127
chr20	472647	473146	0.829981331
chr20	476112	476611	1.053135692
chr20	478114	478613	1.062313301
chr20	479648	480147	0.8962407
chr20	480226	480725	0.981643024
chr20	485511	486010	1.009638886
chr20	488844	489343	0.838876584
chr20	489344	489554	0.705146435
chr20	584886	585385	1.118320261
chr20	590106	590605	1.598433387
chr20	629017	629516	0.911846788
chr20	629517	629811	1.087444034
chr20	633369	633868	1.564772621
chr20	643989	644488	1.023257632
chr20	644489	644988	1.460006218
chr20	655862	656361	1.192135316
chr20	741473	741972	1.485353997
chr20	742114	742613	0.883522255
chr20	743891	744390	1.034387638
chr20	744391	744890	0.669021602
chr20	745601	746100	1.082848025
chr20	746101	746600	0.987059971
chr20	819847	820346	0.610254323
chr20	820347	820456	1.07184912
chr20	825035	825534	1.080241559
chr20	825535	826034	0.850141173
chr20	826035	826534	0.944262684
chr20	853292	853791	0.921910218
chr20	853792	854013	1.215510065
chr20	854676	855175	0.987741033
chr20	855176	855307	1.76046317
chr20	858553	859052	1.161287201
chr20	860139	860638	0.994813316
chr20	861563	862062	1.011522105
chr20	865470	865969	0.992064361
chr20	868710	869209	0.850631866
chr20	870605	871104	1.063126924
chr20	871105	871261	1.805858016
chr20	896298	896797	0.816759822
