name2	Frequency	ID	Chr	CNVR_Start	CNVR_End
MROH8	90649	CNVR_118	20	35730816	35813026
C20orf194	23488	CNVR_14	20	3233197	3363322
RIPOR3	14313	CNVR_165	20	49203531	49212925
PTPRT	11010	CNVR_128	20	40710271	40790240
MIR1-1HG-AS1	10276	CNVR_186	20	60882176	60899023
LAMA5	9542	CNVR_186	20	60882176	60899023
SYCP2	8441	CNVR_182	20	58421919	58514966
RALGAPA2	6239	CNVR_56	20	20373423	20373922
ADRM1	5138	CNVR_186	20	60882176	60899023
DZANK1	4037	CNVR_49	20	18374104	18436139
MYH7B	4037	CNVR_100	20	33566942	33577992
SEL1L2	4037	CNVR_40	20	13839657	13869375
HELZ2	3303	CNVR_197	20	62175329	62192098
SRMS	3303	CNVR_196	20	62162348	62173733
RBL1	2936	CNVR_117	20	35635563	35724424
TPD52L2	2936	CNVR_201	20	62421923	62496829
XRN2	2936	CNVR_60	20	21306666	21307489
ABHD16B	2569	CNVR_201	20	62421923	62496829
LOC112268269	2569	CNVR_201	20	62421923	62496829
CSE1L	2202	CNVR_162	20	47644816	47711750
SPO11	2202	CNVR_177	20	55906638	55930122
SPTLC3	2202	CNVR_35	20	12989369	12990282
ITCH	1835	CNVR_93	20	32996206	33012534
KIF16B	1835	CNVR_43	20	16347737	16351479
MCM8	1835	CNVR_24	20	5924462	5939622
PLCB4	1835	CNVR_30	20	9317522	9389528
ANKRD60	1468	CNVR_178	20	56735966	56803528
ARFGEF2	1468	CNVR_159	20	47538497	47538797
CHRNA4	1468	CNVR_192	20	61944378	61982253
DPM1	1468	CNVR_167	20	49520175	49577227
GPCPD1	1468	CNVR_22	20	5538340	5556826
LAMA5-AS1	1468	CNVR_187	20	60904582	60937858
MMP24-AS1-EDEM2	1468	CNVR_103	20	33734877	33764874
NAPB	1468	CNVR_66	20	23359831	23371151
NECAB3	1468	CNVR_88	20	32245706	32248436
PTK6	1468	CNVR_196	20	62162348	62173733
RBM39	1468	CNVR_109	20	34292908	34297394
SIRPB2	1468	CNVR_7	20	1447114	1472169
SS18L1	1468	CNVR_185	20	60733977	60740726
STK4	1468	CNVR_139	20	43595042	43616187
TOP1	1468	CNVR_125	20	39657711	39658345
TRPC4AP	1468	CNVR_101	20	33578718	33590433
UCKL1	1468	CNVR_204	20	62562453	62575854
ZMYND8	1468	CNVR_153	20	45839608	45841535
ZNF341	1468	CNVR_89	20	32307650	32319814
ADNP-AS1	1101	CNVR_167	20	49520175	49577227
AP5S1	1101	CNVR_18	20	3802498	3805266
BPIFA4P	1101	CNVR_86	20	31786870	31793177
C20orf204	1101	CNVR_207	20	62669602	62694799
CDH22	1101	CNVR_149	20	44803627	44807086
COL20A1	1101	CNVR_192	20	61944378	61982253
CRNKL1	1101	CNVR_53	20	20020002	20022458
DNAJC5	1101	CNVR_203	20	62521452	62551542
DSN1	1101	CNVR_114	20	35293198	35400126
ESF1	1101	CNVR_38	20	13695218	13757166
FAM182B	1101	CNVR_75	20	25733446	25829551
FRG1BP	1101	CNVR_77	20	29611589	29634146
FRG1DP	1101	CNVR_77	20	29611589	29634146
MCM8-AS1	1101	CNVR_25	20	5947831	6017968
