Chr	bin	name	strand	Start	End	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames	ID	i.Start	i.End	Frequency	n_Sample	0	1	2	3	4	5	Type	Length	Check_gene
20	73	NM_080571	-	251503	271419	251847	271244	11	251503,256608,257433,257684,257866,258970,259812,264603,270199,270899,271227,	251908,256727,257520,257786,258024,259070,259971,264722,270317,270948,271419,	0	C20orf96	cmpl	cmpl	2,0,0,0,1,0,0,1,0,2,0,	CNVR_1	257183	257602	367	367			362			5	Gain	420	Has_gene
20	587	NM_001301193	+	361986	378203	368654	377334	4	361986,368654,371930,376841,	362133,368945,372223,378203,	0	TRIB3	cmpl	cmpl	-1,0,0,2,	CNVR_2	368904	377590	367	367			366	1			Gain	8687	Has_gene
20	73	NM_006462	+	388942	412781	389382	411074	11	388942,398169,398375,399990,400201,401514,402770,407956,409134,409594,410993,	389423,398263,398574,400112,400375,401675,402882,408136,409233,409738,412781,	0	RBCK1	cmpl	cmpl	0,2,0,1,0,0,2,0,0,0,0,	CNVR_3	390863	391362	367	367	9		358				Loss	500	Has_gene
20	73	NM_006462	+	388942	412781	389382	411074	11	388942,398169,398375,399990,400201,401514,402770,407956,409134,409594,410993,	389423,398263,398574,400112,400375,401675,402882,408136,409233,409738,412781,	0	RBCK1	cmpl	cmpl	0,2,0,1,0,0,2,0,0,0,0,	CNVR_4	399740	401763	367	367		1	366				Loss	2024	Has_gene
20	591	NM_001042353	+	814357	826920	825447	826335	2	814357,825350,	814594,826920,	0	FAM110A	cmpl	cmpl	-1,0,	CNVR_5	820347	820456	367	367	9		358				Loss	110	Has_gene
20	593	NM_006814	+	1099244	1152890	1099416	1145724	7	1099244,1106140,1108068,1115763,1143773,1144961,1145672,	1099545,1106293,1108151,1115949,1143827,1145120,1152890,	0	PSMF1	cmpl	cmpl	0,0,0,2,2,2,2,	CNVR_6	1145922	1146921	734	367	12		722				Loss	1000	Has_gene
20	74	NR_038164	-	1422806	1448337	1448337	1448337	8	1422806,1426310,1433137,1433675,1434857,1435611,1438844,1447364,	1424556,1426475,1433275,1433785,1434950,1435682,1438919,1448337,	0	NSFL1C	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,	CNVR_7	1447114	1472169	1468	367	425		1043				Loss	25056	Has_gene
20	596	NM_001134836	-	1455233	1472066	1456811	1472005	5	1455233,1457982,1458910,1460638,1471920,	1456981,1458048,1459252,1460710,1472066,	0	SIRPB2	cmpl	cmpl	1,1,1,1,0,	CNVR_7	1447114	1472169	1468	367	425		1043				Loss	25056	Has_gene
20	596	NM_178460	-	1514896	1538351	1515070	1538299	4	1514896,1517800,1532336,1538226,	1515087,1517956,1532684,1538351,	0	SIRPD	cmpl	cmpl	1,1,1,0,	CNVR_8	1514646	1515337	367	367		1	366				Loss	692	Has_gene
20	74	NM_001083910	-	1545028	1600740	1546800	1600590	4	1545028,1546798,1558983,1600514,	1546143,1546913,1559340,1600740,	0	SIRPB1	cmpl	cmpl	-1,1,1,0,	CNVR_9	1551200	1551699	367	367			360			7	Gain	500	Has_gene
20	74	NM_001083910	-	1545028	1600740	1546800	1600590	4	1545028,1546798,1558983,1600514,	1546143,1546913,1559340,1600740,	0	SIRPB1	cmpl	cmpl	-1,1,1,0,	CNVR_10	1558733	1559590	367	367	5	57	304	1			Mixed	858	Has_gene
20	605	NM_001110514	+	2673523	2740754	2673791	2739625	18	2673523,2674306,2686222,2686619,2686854,2688592,2690219,2729194,2730046,2730265,2730492,2732345,2732567,2732731,2733002,2736272,2739554,2739913,	2673794,2674428,2686379,2686683,2686910,2688666,2690288,2729276,2730164,2730399,2730619,2732434,2732633,2732909,2733191,2736470,2739630,2740754,	0	EBF4	cmpl	cmpl	0,0,2,0,1,0,2,2,0,1,0,1,0,0,1,1,1,-1,	CNVR_11	2685972	2690468	367	367		1	366				Loss	4497	Has_gene
20	606	NM_019609	-	2774719	2781273	2774835	2781218	14	2774719,2775182,2775922,2776244,2776627,2776892,2777172,2777651,2777837,2778613,2778797,2779073,2779371,2781046,	2775077,2775285,2776062,2776542,2776807,2777089,2777296,2777740,2777988,2778704,2778937,2779183,2779539,2781273,	0	CPXM1	cmpl	cmpl	1,0,1,0,0,1,0,1,0,2,0,1,1,0,	CNVR_12	2777789	2778238	367	367			366			1	Gain	450	Has_gene
20	606	NM_022760	-	2815960	2821301	2816107	2820558	8	2815960,2816684,2818877,2819241,2819489,2819837,2820434,2820856,	2816355,2816960,2819124,2819392,2819728,2819917,2820579,2821301,	0	PCED1A	cmpl	cmpl	1,1,0,2,0,1,0,-1,	CNVR_13	2821218	2821992	367	367		5	362				Loss	775	Has_gene
20	606	NM_080413	+	2821342	2847378	2821420	2847220	20	2821342,2840364,2840699,2840884,2841094,2841393,2841615,2841870,2842260,2843710,2843935,2844594,2844824,2845010,2845192,2845623,2845793,2846044,2846857,2847075,	2821473,2840453,2840797,2841013,2841239,2841509,2841738,2841926,2842350,2843746,2844044,2844729,2844933,2845108,2845300,2845701,2845963,2846141,2846961,2847378,	0	VPS16	cmpl	cmpl	0,2,1,0,0,1,0,0,2,2,2,0,0,1,0,0,0,2,0,2,	CNVR_13	2821218	2821992	367	367		5	362				Loss	775	Has_gene
20	76	NM_001009984	-	3229947	3388309	3233217	3388204	37	3229947,3234371,3235864,3236651,3240125,3240567,3245083,3251072,3259557,3262286,3268277,3270774,3274784,3275173,3277507,3278675,3285086,3295679,3296381,3297369,3298935,3302863,3303298,3305538,3306843,3311292,3312926,3321150,3324322,3329171,3340162,3354694,3355676,3356824,3362025,3363073,3388121,	3233330,3234465,3235930,3236857,3240200,3240674,3245170,3251208,3259595,3262412,3268436,3270863,3274902,3275275,3277596,3278822,3285190,3295767,3296432,3297440,3299047,3302909,3303343,3305615,3306931,3311329,3313008,3321286,3324378,3329270,3340240,3354801,3355773,3356949,3362145,3363153,3388309,	0	C20orf194	cmpl	cmpl	1,0,0,1,1,2,2,1,2,2,2,0,2,2,0,0,1,0,0,1,0,2,2,0,2,1,0,2,0,0,0,1,0,1,1,2,0,	CNVR_14	3233197	3363322	23488	367	3753		19734	1			Mixed	130126	Has_gene
20	76	NM_001323332	+	3451664	3609945	3451754	3609553	26	3451664,3515899,3520868,3526408,3527930,3529816,3540039,3541308,3542922,3543855,3545994,3553377,3556473,3557505,3559228,3562781,3564544,3565293,3571815,3575125,3577023,3578552,3581592,3584751,3605157,3609546,	3452164,3515983,3520982,3526537,3528136,3529985,3540130,3541552,3543106,3544010,3546079,3553598,3556595,3557644,3559419,3563001,3564730,3565527,3571953,3575219,3577076,3578647,3581671,3584909,3605219,3609945,	0	ATRN	cmpl	cmpl	0,2,2,2,2,1,2,0,1,2,1,2,1,0,1,0,1,1,1,1,2,1,0,1,0,2,	CNVR_15	3515649	3540288	367	367		2	365				Loss	24640	Has_gene
20	76	NM_001323332	+	3451664	3609945	3451754	3609553	26	3451664,3515899,3520868,3526408,3527930,3529816,3540039,3541308,3542922,3543855,3545994,3553377,3556473,3557505,3559228,3562781,3564544,3565293,3571815,3575125,3577023,3578552,3581592,3584751,3605157,3609546,	3452164,3515983,3520982,3526537,3528136,3529985,3540130,3541552,3543106,3544010,3546079,3553598,3556595,3557644,3559419,3563001,3564730,3565527,3571953,3575219,3577076,3578647,3581671,3584909,3605219,3609945,	0	ATRN	cmpl	cmpl	0,2,2,2,2,1,2,0,1,2,1,2,1,0,1,0,1,1,1,1,2,1,0,1,0,2,	CNVR_16	3576773	3605469	367	367		1	366				Loss	28697	Has_gene
20	76	NM_001367089	-	3667616	3687881	3669157	3687775	20	3667616,3670246,3670608,3671986,3672549,3673167,3673508,3674093,3674867,3675309,3677232,3677731,3678444,3679848,3681988,3683843,3684471,3686390,3686993,3687726,	3669266,3670349,3670911,3672247,3672849,3673419,3673778,3674345,3675179,3675570,3677535,3677989,3678780,3680106,3682288,3684098,3684738,3686687,3687353,3687881,	0	SIGLEC1	cmpl	cmpl	2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,	CNVR_17	3673009	3674595	734	367		10	724				Loss	1587	Has_gene
20	614	NM_018347	+	3801193	3809485	3802764	3804944	3	3801193,3802748,3804517,	3801405,3802940,3809485,	0	AP5S1	cmpl	cmpl	-1,0,2,	CNVR_18	3802498	3805266	1101	367		8	1093				Loss	2769	Has_gene
20	76	NM_001134338	-	3907960	3996205	3914709	3955034	7	3907960,3915640,3925823,3928883,3944521,3954978,3996083,	3914848,3915720,3925865,3928926,3944671,3955047,3996205,	0	RNF24	cmpl	cmpl	2,0,0,2,2,0,-1,	CNVR_19	3925573	3944921	734	367		3	731				Loss	19349	Has_gene
20	77	NR_024267	-	4711927	4721314	4721314	4721314	2	4711927,4720785,	4713731,4721314,	0	PRNT	unk	unk	-1,-1,	CNVR_20	4712677	4713676	734	367	55		679				Loss	1000	Has_gene
20	623	NM_002592	-	5095598	5107268	5095928	5100444	7	5095598,5096094,5098115,5099255,5099414,5100223,5107145,	5096008,5096218,5098310,5099323,5099512,5100560,5107268,	0	PCNA	cmpl	cmpl	1,0,0,1,2,0,-1,	CNVR_21	5095348	5099368	367	367		1	366				Loss	4021	Has_gene
20	627	NM_019593	-	5525084	5591652	5528306	5585058	20	5525084,5538590,5539329,5540585,5542110,5545662,5547378,5548128,5550792,5554560,5556058,5556461,5559025,5560653,5564926,5566839,5573972,5579370,5585009,5591487,	5528496,5538751,5539465,5540722,5542176,5545724,5547418,5548206,5550885,5554615,5556191,5556624,5559257,5560777,5564968,5566915,5574057,5579467,5585086,5591652,	0	GPCPD1	cmpl	cmpl	2,0,2,0,0,1,0,0,0,2,1,0,2,1,1,0,2,1,0,-1,	CNVR_22	5538340	5556826	734	367		5	729				Loss	18487	Has_gene
20	627	NM_019593	-	5525084	5591652	5528306	5585058	20	5525084,5538590,5539329,5540585,5542110,5545662,5547378,5548128,5550792,5554560,5556058,5556461,5559025,5560653,5564926,5566839,5573972,5579370,5585009,5591487,	5528496,5538751,5539465,5540722,5542176,5545724,5547418,5548206,5550885,5554615,5556191,5556624,5559257,5560777,5564968,5566915,5574057,5579467,5585086,5591652,	0	GPCPD1	cmpl	cmpl	2,0,2,0,0,1,0,0,0,2,1,0,2,1,1,0,2,1,0,-1,	CNVR_23	5560403	5585258	734	367		3	731				Loss	24856	Has_gene
20	630	NM_001281467	-	5918478	5931204	5919180	5924625	10	5918478,5921698,5921888,5922596,5923073,5924204,5924593,5924807,5927051,5930923,	5919372,5921785,5921991,5922682,5923432,5924329,5924677,5924899,5927179,5931204,	0	TRMT6	cmpl	cmpl	0,0,2,0,1,2,0,-1,-1,-1,	CNVR_24	5924462	5939622	734	367		4	730				Loss	15161	Has_gene
20	630	NM_032485	+	5931297	5979617	5932661	5975037	19	5931297,5932656,5933069,5935253,5935747,5937771,5939173,5943919,5948081,5948475,5952652,5953701,5958521,5963615,5965426,5966567,5967927,5974151,5974944,	5931669,5932809,5933174,5935336,5935897,5937875,5939372,5944005,5948233,5948671,5952683,5953842,5958663,5963811,5965646,5966777,5968004,5974341,5979617,	0	MCM8	cmpl	cmpl	-1,0,1,1,0,0,2,0,2,1,2,0,0,1,2,0,0,2,0,	CNVR_24	5924462	5939622	734	367		4	730				Loss	15161	Has_gene
20	630	NM_032485	+	5931297	5979617	5932661	5975037	19	5931297,5932656,5933069,5935253,5935747,5937771,5939173,5943919,5948081,5948475,5952652,5953701,5958521,5963615,5965426,5966567,5967927,5974151,5974944,	5931669,5932809,5933174,5935336,5935897,5937875,5939372,5944005,5948233,5948671,5952683,5953842,5958663,5963811,5965646,5966777,5968004,5974341,5979617,	0	MCM8	cmpl	cmpl	-1,0,1,1,0,0,2,0,2,1,2,0,0,1,2,0,0,2,0,	CNVR_25	5947831	6017968	1468	367		8	1460				Loss	70138	Has_gene
20	630	NR_110101	-	5971440	5986467	5986467	5986467	5	5971440,5974439,5981166,5981921,5986418,	5972114,5974570,5981321,5982043,5986467,	0	MCM8-AS1	unk	unk	-1,-1,-1,-1,-1,	CNVR_25	5947831	6017968	1468	367		8	1460				Loss	70138	Has_gene
